eta,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo,E_hs_hi,nu_mt,particle_true_density,inside_hs_mt,inside_hs_ds,meets_target_mt,meets_target_ds
0.8,0.49,1.2091648,6465.282996263859,6938.141481227802,6465.282996263859,8975.296652449859,0.3005230849922558,1.2395199999999997,True,True,True,True
0.8,0.5,1.2097599999999997,6575.492943102139,7070.554624997056,6575.492943102139,9126.70669876731,0.29938388395611454,1.2395199999999997,True,True,True,True
0.8,0.51,1.2103552,6688.206756093104,7205.976935525551,6688.206756093104,9279.649227820339,0.29823394158040123,1.2395199999999997,True,True,True,True
0.8,0.52,1.2109503999999998,6803.511490019955,7344.479447200109,6803.511490019955,9434.149842491943,0.2970727556732493,1.2395199999999997,True,True,True,True
0.8,0.53,1.2115456,6921.4982740930955,7486.134625455665,6921.4982740930955,9590.234646851277,0.29589980198196975,1.2395199999999997,True,True,True,True
0.8,0.54,1.2121407999999998,7042.262553262378,7631.016375389729,7042.262553262378,9747.930261147008,0.2947145328662608,1.2395199999999997,True,True,True,True
0.8,0.55,1.2127359999999998,7165.904346883252,7779.200049241204,7165.904346883252,9907.263837207762,0.2935163758763414,1.2395199999999997,True,True,True,True
0.8,0.56,1.2133311999999998,7292.528526210518,7930.76245251586,7292.528526210518,10068.263074268942,0.2923047322279255,1.2395199999999997,True,True,True,True
0.8,0.57,1.2139263999999999,7422.245112338189,8085.781848719292,7422.245112338189,10230.956235245976,0.2910789751651659,1.2395199999999997,True,True,True,True
0.8,0.58,1.2145215999999999,7555.169596364886,8244.337962616994,7555.169596364886,10395.372163474558,0.2898384482018082,1.2395199999999997,True,True,True,True
0.8,0.59,1.2151167999999997,7691.42328374353,8406.511981941272,7691.42328374353,10561.540299939183,0.2885824632298168,1.2395199999999997,True,True,True,True
0.8,0.6,1.215712,7831.133664973734,8572.38655748704,7831.133664973734,10729.490701012102,0.2873102984836381,1.2395199999999997,True,True,True,True
0.801,0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.9999999999986,0.35,1.2346371014599997,True,True,False,False
0.801,0.01,1.1805463710145998,3046.298405745251,3046.431498136787,3046.298405745251,3100.0315961542024,0.3490267909512565,1.2346371014599997,True,True,False,False
0.801,0.02,1.1810927420292,3093.257181763981,3093.7942822828686,3093.257181763981,3200.700116160888,0.34805456312336663,1.2346371014599997,True,True,False,False
0.801,0.03,1.1816391130437998,3140.891096600592,3142.110313577561,3140.891096600592,3302.0210710787833,0.3470831903855584,1.2346371014599997,True,True,False,False
0.801,0.04,1.1821854840583998,3189.2153553012317,3191.4021165323543,3189.2153553012317,3404.0098567652244,0.34611254476881775,1.2346371014599997,True,True,False,False
0.801,0.05,1.182731855073,3238.2456157755973,3241.692793357799,3238.2456157755973,3506.681774703037,0.3451424963664419,1.2346371014599997,True,True,False,False
0.801,0.06,1.1832782260876,3287.9980058980086,3293.006038472229,3287.9980058980086,3610.0520516523825,0.344172913230685,1.2346371014599997,True,True,False,False
0.801,0.07,1.1838245971022,3338.489141387092,3345.3661536258414,3338.489141387092,3714.1358582365147,0.3432036612652765,1.2346371014599997,True,True,False,False
0.801,0.08,1.1843709681168,3389.7361445057745,3398.798062951499,3389.7361445057745,3818.9483265604244,0.34223460411357776,1.2346371014599997,True,True,False,False
0.801,0.09,1.1849173391314,3441.75666362591,3453.3273285205764,3441.75666362591,3924.5045669526503,0.34126560304212705,1.2346371014599997,True,True,False,False
0.801,0.1,1.185463710146,3494.5688937045625,3508.9801660425323,3494.5688937045625,4030.819683912074,0.34029651681931317,1.2346371014599997,True,True,False,True
0.801,0.11,1.1860100811606,3548.1915977219664,3565.7834610569384,3548.1915977219664,4137.908791334802,0.3393272015888942,1.2346371014599997,True,True,True,True
0.801,0.12,1.1865564521752,3602.6441291343085,3623.7647852924047,3602.6441291343085,4245.787027089637,0.33835751073806697,1.2346371014599997,True,True,True,True
0.801,0.13,1.1871028231898,3657.9464553978682,3682.9524132757456,3657.9464553978682,4354.469567004779,0.33738729475977214,1.2346371014599997,True,True,True,True
0.801,0.14,1.1876491942043998,3714.119182624705,3743.3753392509366,3714.119182624705,4463.971638323443,0.3364164011088966,1.2346371014599997,True,True,True,True
0.801,0.15,1.188195565219,3771.183581433912,3805.0632943311293,3771.183581433912,4574.308532681375,0.33544467405202033,1.2346371014599997,True,True,True,True
0.801,0.16,1.1887419362335998,3829.1616140667024,3868.0467641434925,3829.1616140667024,4685.495618654951,0.334471954510325,1.2346371014599997,True,True,True,True
0.801,0.17,1.1892883072482,3888.0759628380656,3932.3570064102537,3888.0759628380656,4797.548353924975,0.33349807989526087,1.2346371014599997,True,True,True,True
0.801,0.18,1.1898346782628,3947.950060002472,3998.02606897938,3947.950060002472,4910.482297097863,0.33252288393654095,1.2346371014599997,True,True,True,True
0.801,0.19,1.1903810492773998,4008.808119116435,4065.086807892954,4008.808119116435,5024.313119222768,0.3315461965020031,1.2346371014599997,True,True,True,True
