grade,eta,eta_in_window,vf,rho_g_cc,E_mt_mpa,E_hs_lo,E_hs_hi,meets_target
K20,0.9730325761726207,False,0.25,0.9349999999999999,2868.328547696108,2867.074606377587,2868.328547696108,False
K20,0.9730325761726207,False,0.26,0.9251999999999999,2863.0286792469446,2861.739647883638,2863.0286792469446,False
K20,0.9730325761726207,False,0.27,0.9153999999999999,2857.725729920706,2856.402811433009,2857.725729920706,False
K20,0.9730325761726207,False,0.28,0.9055999999999998,2852.4196360222513,2851.06403892311,2852.4196360222513,False
K20,0.9730325761726207,False,0.29,0.8957999999999998,2847.1103333163205,2845.723271822253,2847.1103333163205,False
K20,0.9730325761726207,False,0.3,0.8859999999999999,2841.7977570204935,2840.3804511642365,2841.7977570204935,False
K20,0.9730325761726207,False,0.31,0.8761999999999999,2836.4818417980673,2835.035517542831,2836.4818417980673,False
K20,0.9730325761726207,False,0.32,0.8663999999999998,2831.162521750813,2829.688411106212,2831.162521750813,False
K20,0.9730325761726207,False,0.33,0.8565999999999998,2825.839730411625,2824.3390715512965,2825.839730411625,False
K20,0.9730325761726207,False,0.34,0.8467999999999998,2820.5134007370725,2818.9874381180084,2820.5134007370725,False
K20,0.9730325761726207,False,0.35,0.837,2815.1834650998157,2813.633449583465,2815.1834650998157,False
K20,0.9730325761726207,False,0.36,0.8271999999999999,2809.8498552809356,2808.2770442560736,2809.8498552809356,False
K20,0.9730325761726207,False,0.37,0.8173999999999999,2804.5125024621225,2802.9181599695594,2804.5125024621225,False
K20,0.9730325761726207,False,0.38,0.8075999999999999,2799.17133721776,2797.5567340768853,2799.17133721776,False
K20,0.9730325761726207,False,0.39,0.7978,2793.8262895068888,2792.192703444115,2793.8262895068888,False
K20,0.9730325761726207,False,0.4,0.7879999999999999,2788.4772886650394,2786.826004444167,2788.4772886650394,False
K20,0.9730325761726207,False,0.41,0.7782,2783.1242633959473,2781.456572950481,2783.1242633959473,False
K20,0.9730325761726207,False,0.42,0.7684,2777.7671417631354,2776.084344330611,2777.7671417631354,False
K20,0.9730325761726207,False,0.43,0.7586,2772.4058511813746,2770.7092534397,2772.4058511813746,False
K20,0.9730325761726207,False,0.44,0.7488,2767.040318408004,2765.331234613888,2767.040318408004,False
K20,0.9730325761726207,False,0.45,0.739,2761.6704695341223,2759.9502216636056,2761.6704695341223,False
K20,0.9730325761726207,False,0.46,0.7292,2756.2962299756414,2754.5661478667757,2756.2962299756414,False
K20,0.9730325761726207,False,0.47,0.7193999999999999,2750.9175244642015,2749.178945961924,2750.9175244642015,False
K20,0.9730325761726207,False,0.48,0.7096,2745.5342770379357,2743.788548141179,2745.5342770379357,False
K20,0.9730325761726207,False,0.49,0.6998,2740.1464110321112,2738.3948860431733,2740.1464110321112,False
K20,0.9730325761726207,False,0.5,0.69,2734.7538490695965,2732.997890745851,2734.7538490695965,False
K20,0.9730325761726207,False,0.51,0.6801999999999999,2729.356513051205,2727.597492759146,2729.356513051205,False
K20,0.9730325761726207,False,0.52,0.6703999999999999,2723.9543241458646,2722.1936220175817,2723.9543241458646,False
K20,0.9730325761726207,False,0.53,0.6606,2718.5472027806413,2716.7862078727403,2718.5472027806413,False
K20,0.9730325761726207,False,0.54,0.6507999999999999,2713.135068630614,2711.3751790856286,2713.135068630614,False
K20,0.9730325761726207,False,0.55,0.6409999999999999,2707.717840608566,2705.9604638189326,2707.717840608566,False
K20,0.9730325761726207,False,0.56,0.6311999999999999,2702.2954368545325,2700.5419896291537,2702.2954368545325,False
K20,0.9730325761726207,False,0.57,0.6214000000000001,2696.8677747251695,2695.119683458624,2696.8677747251695,False
K20,0.9730325761726207,False,0.58,0.6116,2691.4347707829606,2689.693471627414,2691.4347707829606,False
K20,0.9730325761726207,False,0.59,0.6018,2685.996340785237,2684.2632798251075,2685.996340785237,False
K20,0.9730325761726207,False,0.6,0.592,2680.552399673038,2678.829033102458,2680.552399673038,False
S22,0.9702524679462838,False,0.0,1.18,2999.9999999999995,2999.9999999999995,2999.9999999999986,False
S22,0.9702524679462838,False,0.01,1.1703999999999999,2997.7786857708716,2997.7786857708716,2997.785198166425,False
S22,0.9702524679462838,False,0.02,1.1607999999999998,2995.546706360204,2995.546706360204,2995.5596516561213,False
