table,eta,vf,particle_true_density_g_cc,E_mt_mpa,E_ds_mpa,nu_mt,rho_g_cc,specific_E_mpa_cc_g,E_hs_lo_mpa,E_hs_hi_mpa,inside_hs_band,feasible,hs_feasible,grade,eta_in_requested_range
grid,0.8025,0.04,1.2272898603125,3188.7281757192363,3190.898072506845,0.3461115208932252,1.1818915944125,2697.9870157248256,3188.7281757192363,3400.6916337646576,True,False,False,,
grid,0.8025,0.05,1.2272898603125,3237.627393127868,3241.0477481759385,0.3451410924324014,1.182364493015625,2738.2650716026556,3237.627393127868,3502.5198609625763,True,False,True,,
grid,0.8025,0.06,1.2272898603125,3287.244784675751,3292.21349966069,0.3441710801264129,1.18283739161875,2779.118083320864,3287.244784675751,3605.04027910531,True,False,True,,
grid,0.8025,0.07,1.2272898603125,3337.596828866645,3344.4193631059416,0.34320135012903313,1.1833102902218748,2820.5592873200094,3337.596828866645,3708.267813378225,True,False,True,,
grid,0.8025,0.08,1.2272898603125,3388.700505151242,3397.6899864878137,0.3422317663276183,1.1837831888249999,2862.6023220643974,3388.700505151242,3812.217355913924,True,False,True,,
grid,0.8025,0.09,1.2272898603125,3440.5733132205296,3452.050644769977,0.34126219022718834,1.1842560874281252,2905.2612435309475,3440.5733132205296,3916.90378189042,True,False,True,,
grid,0.8025,0.1,1.2272898603125,3493.233293195643,3507.5272551976736,0.3402924808296613,1.18472898603125,2948.5505414176646,3493.233293195643,4022.3419648817285,True,False,True,,
grid,0.8025,0.11,1.2272898603125,3546.69904676318,3564.1463930465043,0.3393224945079656,1.185201884634375,2992.485156111026,3546.69904676318,4128.546791531143,True,True,True,,
grid,0.8025,0.12,1.2272898603125,3600.989759308107,3621.935307560743,0.3383520848747376,1.1856747832374999,3037.080496454145,3600.989759308107,4235.533175611502,True,True,True,,
grid,0.8025,0.13,1.2272898603125,3656.125223099688,3680.9219380983727,0.3373811026452884,1.186147681840625,3082.3524583601875,3656.125223099688,4343.3160715315225,True,True,True,,
grid,0.8025,0.14,1.2272898603125,3712.1258615893653,3741.1349305919225,0.33640939549451215,1.18662058044375,3128.317444318364,3712.1258615893653,4451.910487342361,True,True,True,,
grid,0.8025,0.15,1.2272898603125,3769.0127548833652,3802.60365420144,0.3354368079073796,1.1870934790468748,3174.9923838428717,3769.0127548833652,4561.331497294329,True,True,True,,
grid,0.8025,0.16,1.2272898603125,3826.8076664569044,3865.358218481825,0.33446318102264205,1.1875663776499998,3222.394754918485,3826.8076664569044,4671.594253989796,True,True,True,,
grid,0.8025,0.17,1.2272898603125,3885.5330711811716,3929.4294904426165,0.33348835246934544,1.1880392762531249,3270.5426064999183,3885.5330711811716,4782.714000174794,True,True,True,,
grid,0.8025,0.18,1.2272898603125,3945.2121847390576,3994.8491120620915,0.33251215619572827,1.18851217485625,3319.4545821259503,3945.2121847390576,4894.706080208789,True,True,True,,
grid,0.8025,0.19,1.2272898603125,4005.8689945106094,4061.6495177997617,0.33153442229004854,1.188985073459375,3369.1499447133147,4005.8689945106094,5007.585951249167,True,True,True,,
grid,0.8025,0.2,1.2272898603125,4067.5282920146346,4129.86395280467,0.33055497679285434,1.1894579720625,3419.6486025997283,4067.5282920146346,5121.36919418437,True,True,True,,
grid,0.8025,0.21,1.2272898603125,4130.215706998781,4199.52649079322,0.32957364150018165,1.189930870665625,3470.9711369101765,4130.215706998781,5236.071524347617,True,True,True,,
grid,0.8025,0.22,1.2272898603125,4193.957743276646,4270.672052421928,0.32859023375712576,1.19040376926875,3523.1388303255644,4193.957743276646,5351.708802040652,True,True,True,,
grid,0.8025,0.23,1.2272898603125,4258.781816417373,4343.336423629722,0.3276045662411962,1.190876667871875,3576.17369733838,4258.781816417373,5468.2970428954995,True,True,True,,
grid,0.8025,0.24,1.2272898603125,4324.7162934003945,4417.55627445008,0.32661644673482415,1.191349566475,3630.09851608583,4324.7162934003945,5585.852428100237,True,True,True,,
grid,0.8025,0.25,1.2272898603125,4391.790534356017,4493.369177728617,0.32562567788634605,1.191822465078125,3684.9368618572994,4391.790534356017,5704.391314513473,True,True,True,,
grid,0.8025,0.26,1.2272898603125,4460.0349365209895,4570.813628010242,0.3246320569587415,1.19229536368125,3740.7131423798287,4460.0349365209895,5823.93024469077,True,True,True,,
