table,grade,eta,particle_true_density_g_cc,vf,rho_g_cc,E_mt_mpa,E_ds_mpa,E_hs_lo_mpa,E_hs_hi_mpa,specific_E_mpa_cc_g
eta_optimum,,0.8,1.2395199999999997,0.105,1.1862496,3522.209858800669,3538.2548815050295,3522.209858800669,4090.210583112235,2969.197931700604
eta_optimum,,0.8025,1.2272898603125,0.105,1.1849654353328125,3519.864263140656,3535.692321098981,3519.864263140656,4075.347616435066,2970.4362323041582
eta_optimum,,0.805,1.2149832824999998,0.105,1.1836732446625,3517.4668109787267,3533.075211628226,3517.4668109787267,4060.4752095789117,2971.6535596626245
eta_optimum,,0.8075,1.2026000284375,0.105,1.1823730029859376,3515.015859310241,3530.4018873338528,3515.015859310241,4045.593570635551,2972.848543085389
eta_optimum,,0.81,1.19013986,0.105,1.1810646853,3512.5096946012077,3527.670613041549,3512.5096946012077,4030.7028865251928,2974.019745335965
eta_optimum,,0.8125,1.1776025390625,0.6,1.1785615234375,7644.906195131659,8303.775907903668,7644.906195131659,10175.380741251163,6486.641590702731
eta_optimum,,0.8150000000000001,1.1649878274999999,0.6,1.1709926965,7605.82280647384,8248.285799551186,7605.82280647384,10064.436014668274,6495.192351930984
eta_optimum,,0.8175,1.1522954871875,0.6,1.1633772923125,7566.094775072494,8192.184877493375,7566.094775072494,9953.454584576091,6503.560646291289
eta_optimum,,0.8200000000000001,1.1395252799999998,0.6,1.155715168,7525.707547051608,8135.463418217872,7525.707547051608,9842.43797646063,6511.732090593803
eta_optimum,,0.8225,1.1266769678125002,0.6,1.1480061806875002,7484.646122334684,8078.111421884105,7484.646122334684,9731.387564010547,6519.691486201229
eta_optimum,,0.8250000000000001,1.1137503124999995,0.6,1.1402501874999995,7442.89503740842,8020.118600162,7442.89503740842,9620.3045611414,6527.422770021182
eta_optimum,,0.8275,1.1007450759375002,0.6,1.1324470455625,7400.438347281495,7961.47436394144,7400.438347281495,9509.190013431245,6534.908962216074
eta_optimum,,0.8300000000000001,1.0876610199999996,0.6,1.1245966119999997,7357.259606594221,7902.167810434364,7357.259606594221,9398.044788911795,6542.13211038397
eta_optimum,,0.8325,1.0744979065625,0.6,1.1166987439375,7313.341849832153,7842.187708868482,7313.341849832153,9286.869568152966,6549.073229943088
eta_optimum,,0.8350000000000001,1.0612554974999995,0.6,1.1087532984999995,7268.667570593491,7781.52248619245,7268.667570593491,9175.664833571604,6555.712240429916
eta_optimum,,0.8375,1.0479335546875,0.6,1.1007601328124998,7223.218699857224,7720.160211094045,7223.218699857224,9064.430857887784,6562.0278973962495
eta_optimum,,0.8400000000000001,1.0345318399999996,0.6,1.0927191039999997,7176.9765831952345,7658.088577608555,7176.9765831952345,8953.167691643126,6567.9977195632855
eta_optimum,,0.8425,1.0210501153125,0.6,1.0846300691875,7129.921956868015,7595.294887399692,7129.921956868015,8841.875149685655,6573.59791086104
eta_optimum,,0.845,1.0074881425,0.6,1.0764928855,7082.0349227397255,7531.766031276609,7082.0349227397255,8730.552796514765,6578.803276949038
eta_optimum,,0.8475,0.9938456834374998,0.6,1.0683074100624999,7033.294921943813,7467.488469096115,7033.294921943813,8619.199930366816,6583.587135778025
eta_optimum,,0.85,0.9801225000000002,0.6,1.0600735000000001,6983.68070722614,7402.448208168542,6983.68070722614,8507.81556590802,6587.921221713531
eta_optimum,,0.8525,0.9663183540624998,0.6,1.0517910124374998,6933.170313887289,7336.630781605722,6933.170313887289,8396.39841538407,6591.775582698541
eta_optimum,,0.855,0.9524330075000003,0.6,1.0434598045,6881.741029240689,7270.021223186656,6881.741029240689,8284.946868058125,6595.118469885141
eta_optimum,,0.8575,0.9384662221874999,0.6,1.0350797333125,6829.369360497203,7202.604042087474,6829.369360497203,8173.458967746595,6597.916219112518
eta_optimum,,0.86,0.9244177600000001,0.6,1.0266506560000002,6776.03100098081,7134.363195007485,6776.03100098081,8061.932388238162,6600.13312355085
eta_optimum,,0.8625,0.9102873828124997,0.6,1.0181724296874997,6721.70079457328,7065.282056673816,6721.70079457328,7950.364406353128,6601.731296767016
eta_optimum,,0.865,0.8960748525000002,0.6,1.0096449115000001,6666.352698278475,6995.343387990223,6666.352698278475,7838.751872367713,6602.670525397359
eta_optimum,,0.8675,0.8817799309374997,0.6,1.0010679585624997,6609.959742789243,6924.529302296906,6609.959742789243,7727.091177490892,6602.908110535198
eta_optimum,,0.87,0.8674023800000001,0.6,0.992441428,6552.493990931338,6852.82122831385,6552.493990931338,7615.378218037972,6602.398696854217
eta_optimum,,0.8725,0.8529419615624997,0.6,0.9837651769374998,6493.9264938497845,6780.199870930969,6493.9264938497845,7503.6083558951805,6601.094088393774
eta_optimum,,0.875,0.8383984375,0.6,0.9750390624999999,6434.227244793221,6706.645168462577,6434.227244793221,7391.776374811869,6598.943049825987
eta_optimum,,0.8775,0.8237715696875004,0.6,0.9662629418125002,6373.365130340977,6632.136247051556,6373.365130340977,7279.876431988602,6595.891091907057
eta_optimum,,0.88,0.8090611200000001,0.6,0.957436672,6311.307878906351,6556.651370821781,6311.307878906351,7167.902004351701,6591.880239684772
eta_optimum,,0.8825000000000001,0.7942668503124997,0.6,0.9485601101874997,6248.022006336643,6480.16788792749,6248.022006336643,7055.84582881146,6586.848781888594
eta_optimum,,0.885,0.7793885224999998,0.6,0.9396331134999998,6183.472758417124,6402.662172510186,6183.472758417124,6943.699835693593,6580.730999767097
eta_optimum,,0.8875,0.7644258984375003,0.6,0.9306555390625002,6117.62405007119,6324.109560698093,6117.62405007119,6831.4550744056905,6573.456873456967
eta_optimum,,0.89,0.7493787399999998,0.6,0.9216272439999998,6050.438401032901,6244.484282239342,6050.438401032901,6719.1016302500175,6564.95176376633
eta_optimum,,0.8925,0.7342468090625003,0.6,0.9125480854375001,5981.876867750555,6163.759384625877,5981.876867750555,6606.628531115568,6555.136067030026
eta_optimum,,0.895,0.7190298674999999,0.6,0.9034179204999999,5911.898971260761,6081.906651258579,5911.898971260761,6494.023642570213,6543.924840442393
eta_optimum,,0.8975,0.7037276771875003,0.6,0.8942366063125001,5840.462620751807,5998.896510381032,5840.462620751807,6381.273549621138,6531.227394990803
eta_optimum,,0.9,0.6883399999999997,0.6,0.8850039999999998,5767.524032512262,5914.697937060387,5767.524032512262,6268.3634231091555,6516.946852796444
eta_optimum,,0.9025,0.6728665978125002,0.6,0.8757199586875002,5693.037643935983,5829.278343775391,5693.037643935983,6155.276868339066,6500.979665312777
eta_optimum,,0.905,0.6573072324999998,0.6,0.8663843394999998,5616.956022227463,5742.603460510675,5616.956022227463,6041.995753110001,6483.215088431852
eta_optimum,,0.9075,0.6416616659375001,0.6,0.8569969995625,5539.229767421859,5654.637201894326,5539.229767421859,5928.500011779245,6463.534610097417
eta_optimum,,0.91,0.6259296599999997,0.6,0.8475577959999998,5459.807409301357,5565.341520043836,5459.807409301357,5814.767421348053,6441.811325515032
eta_optimum,,0.9125,0.6101109765625,0.6,0.8380665859375,5378.635297753831,5474.676241552869,5378.635297753831,5700.773344770431,6417.9092544741425
eta_optimum,,0.915,0.5942053774999998,0.6,0.8285232264999998,5295.657486080464,5382.598884354841,5295.657486080464,5586.490435719877,6391.682594646567
eta_optimum,,0.9175,0.5782126246875002,0.6,0.8189275748125001,5210.815606715917,5289.064454778449,5210.815606715917,5471.888297858522,6362.974903988273
eta_optimum,,0.9199999999999999,0.5621324800000005,0.6,0.8092794880000003,5124.048738776933,5194.025218987724,5124.048738776933,5356.93309017832,6331.6182045342175
eta_optimum,,0.9225,0.5459647053125,0.6,0.7995788231875,5035.293266802891,5097.430444887732,5035.293266802891,5241.587068147529,6297.431998923917
